Date,AGG,GLD,SPY,BTC-USD
2023-03-22,93.8621597290039,183.44000244140625,384.091796875,27307.4375
2023-03-23,94.08799743652344,185.74000549316406,385.130126953125,28333.97265625
2023-03-24,94.24797821044922,183.64999389648438,387.65740966796875,27493.28515625
2023-03-27,93.23172760009766,181.9499969482422,388.38226318359375,27139.888671875
2023-03-28,93.09056854248047,183.44000244140625,387.5104675292969,27268.130859375
2023-03-29,93.20348358154297,182.52999877929688,393.1429138183594,28348.44140625
2023-03-30,93.30699920654297,184.17999267578125,395.44482421875,28033.5625
2023-03-31,93.7586669921875,183.22000122070312,401.0184631347656,28478.484375
2023-04-03,94.16618347167969,184.5399932861328,402.54656982421875,27790.220703125
2023-04-04,94.51522064208984,187.97999572753906,400.313232421875,28168.08984375
2023-04-05,94.8359603881836,187.8300018310547,399.26507568359375,28177.984375
2023-04-06,94.75108337402344,186.49000549316406,400.8225402832031,28044.140625
2023-04-10,94.10013580322266,185.11000061035156,401.23394775390625,29652.98046875
2023-04-11,94.15676879882812,186.27999877929688,401.34173583984375,30235.05859375
2023-04-12,94.26997375488281,187.19000244140625,399.7058410644531,30139.052734375
2023-04-13,94.23223114013672,189.72000122070312,405.0150451660156,30399.06640625
2023-04-14,93.76996612548828,186.36000061035156,404.0257263183594,30485.69921875
2023-04-17,93.29830932617188,185.52999877929688,405.4754333496094,29445.044921875
2023-04-18,93.43035125732422,186.25,405.7398986816406,30397.552734375
2023-04-19,93.28887176513672,185.36000061035156,405.6713562011719,28822.6796875
2023-04-20,93.71337890625,186.08999633789062,403.45751953125,28245.98828125
2023-04-21,93.55299377441406,184.25,403.7709655761719,27276.91015625
2023-04-24,93.92093658447266,184.80999755859375,404.19219970703125,27525.33984375
2023-04-25,94.50580596923828,185.75,397.776123046875,28307.59765625
2023-04-26,94.15676879882812,184.74000549316406,396.09130859375,28422.701171875
2023-04-27,93.817138671875,184.75,403.9767150878906,29473.787109375
2023-04-28,94.29827880859375,184.8000030517578,407.4247131347656,29340.26171875
2023-05-01,93.33267974853516,183.97000122070312,407.0133056640625,28091.568359375
2023-05-02,94.24058532714844,187.52000427246094,402.4388427734375,28680.537109375
2023-05-03,94.65667724609375,189.11000061035156,399.67645263671875,29006.30859375
2023-05-04,94.54319763183594,190.44000244140625,396.8455810546875,28847.7109375
2023-05-05,94.24058532714844,187.4600067138672,404.19219970703125,29534.384765625
2023-05-08,93.72044372558594,187.69000244140625,404.2999267578125,27694.2734375
